word,words_total_appear_in_group,words_total_in_group_without_stop_words,words_total_in_group_with_stop_words
achatamento,2,324979,395083
achatar,7,324979,395083
achcar,1,324979,395083
achocolatar,2,324979,395083
acidar,2,324979,395083
acident,13,324979,395083
acidentalment,4,324979,395083
acidentar,70,324979,395083
acidez,5,324979,395083
acidificar,4,324979,395083
acido,28,324979,395083
acidos,2,324979,395083
acij,4,324979,395083
acima,129,324979,395083
acimentria,1,324979,395083
acion,7,324979,395083
aciona,1,324979,395083
acionada,2,324979,395083
acionado,7,324979,395083
acionar,3,324979,395083
acionaram,1,324979,395083
acionaria,1,324979,395083
acionei,1,324979,395083
acionista,15,324979,395083
acirramento,2,324979,395083
acirrar,4,324979,395083
aclamacao,2,324979,395083
acm,2,324979,395083
aco,86,324979,395083
acobertar,9,324979,395083
acola,1,324979,395083
acolh,1,324979,395083
acolhido,1,324979,395083
acolhimento,1,324979,395083
acomet,9,324979,395083
acomodacao,2,324979,395083
acomodar,5,324979,395083
acompana,1,324979,395083
acompanham,1,324979,395083
acompanhamento,12,324979,395083
acompanhant,4,324979,395083
acompanhar,540,324979,395083
acompanharrenata,1,324979,395083
aconselhar,17,324979,395083
aconselhas,4,324979,395083
aconselhavel,1,324979,395083
acontagem,1,324979,395083
acontec,398,324979,395083
acontecepart,1,324979,395083
aconteceuembora,1,324979,395083
acontecimento,8,324979,395083
acool,1,324979,395083
acoplado,3,324979,395083
acorar,1,324979,395083
acorcin,1,324979,395083
acordabrasil,1,324979,395083
acordao,3,324979,395083
acordar,494,324979,395083
acordatuqdormesonodamort,1,324979,395083
acordo,11,324979,395083
acordocom,1,324979,395083
acorr,2,324979,395083
acorrentar,2,324979,395083
acostamento,4,324979,395083
acostumar,10,324979,395083
acostumes,1,324979,395083
acougu,4,324979,395083
acougueiro,5,324979,395083
acovardar,1,324979,395083
acr,14,324979,395083
acrea,1,324979,395083
acreano,1,324979,395083
acreditar,183,324979,395083
acreditas,3,324979,395083
acrediteroberto,1,324979,395083
acrescentar,45,324979,395083
acrescimo,2,324979,395083
acripara,1,324979,395083
act,3,324979,395083
activacao,1,324979,395083
acto,1,324979,395083
acuar,2,324979,395083
acucar,11,324979,395083
acucarar,3,324979,395083
acumular,26,324979,395083
acumulo,3,324979,395083
acusacao,55,324979,395083
acusaco,1,324979,395083
acusacoesna,1,324979,395083
acusalo,1,324979,395083
acusandoa,1,324979,395083
acusandono,1,324979,395083
acusar,137,324979,395083
acusdo,1,324979,395083
acuti,1,324979,395083
acwi,2,324979,395083
adam,2,324979,395083
adamantino,1,324979,395083
adao,3,324979,395083
adaptacao,3,324979,395083
adaptar,4,324979,395083
adegar,6,324979,395083
adelia,1,324979,395083
adelio,70,324979,395083
adendo,2,324979,395083
adenoviru,1,324979,395083
adensamento,1,324979,395083
adensar,1,324979,395083
adentrar,2,324979,395083
adequadament,4,324979,395083
adequar,18,324979,395083
aderecar,1,324979,395083
aderir,10,324979,395083
adesao,5,324979,395083
adesivado,1,324979,395083
adesivo,5,324979,395083
adestrar,1,324979,395083
adesviva,1,324979,395083
adeu,1,324979,395083
adhanom,11,324979,395083
adhemar,1,324979,395083
adiamento,2,324979,395083
adiantar,43,324979,395083
adiar,4,324979,395083
adib,5,324979,395083
adicao,1,324979,395083
adicion,5,324979,395083
adicionalo,3,324979,395083
adicionar,17,324979,395083
adida,1,324979,395083
adilson,2,324979,395083
adimiracao,1,324979,395083
adir,31,324979,395083
aditala,1,324979,395083
aditivado,5,324979,395083
adivinen,1,324979,395083
adivinhar,11,324979,395083
adivinho,9,324979,395083
adjacencia,1,324979,395083
adjacent,3,324979,395083
adjetivar,1,324979,395083
adjetivo,1,324979,395083
adjunto,3,324979,395083
adjuvant,2,324979,395083
administr,9,324979,395083
administracao,46,324979,395083
administrador,10,324979,395083
administrandoo,1,324979,395083
administrar,36,324979,395083
administrativaa,1,324979,395083
administrativo,27,324979,395083
admiracao,4,324979,395083
admirador,4,324979,395083
admirar,8,324979,395083
admiravel,1,324979,395083
admissao,1,324979,395083
admitir,47,324979,395083
admitirpolici,1,324979,395083
adn,1,324979,395083
adnet,1,324979,395083
adocant,1,324979,395083
adocao,39,324979,395083
adocar,3,324979,395083
adoec,6,324979,395083
adoecimento,2,324979,395083
adoidar,3,324979,395083
adolescent,41,324979,395083
adolf,9,324979,395083
adolfhitl,1,324979,395083
adolfo,1,324979,395083
adoracao,3,324979,395083
adorador,3,324979,395083
adorar,19,324979,395083
adormecido,1,324979,395083
adornar,1,324979,395083
adot,19,324979,395083
adota,3,324979,395083
adotada,29,324979,395083
adotado,23,324979,395083
adotam,1,324979,395083
adotamo,1,324979,395083
adotando,2,324979,395083
adotant,1,324979,395083
adotar,16,324979,395083
adotara,2,324979,395083
adotaram,5,324979,395083
adotarem,1,324979,395083
adotaria,1,324979,395083
adotem,8,324979,395083
adotivo,1,324979,395083
adquirilo,1,324979,395083
adquirir,40,324979,395083
adrenalina,1,324979,395083
adrian,5,324979,395083
adriana,7,324979,395083
adriano,1,324979,395083
adubar,1,324979,395083
adulteracao,3,324979,395083
adulterar,19,324979,395083
adulto,23,324979,395083
adv,1,324979,395083
adventista,2,324979,395083
advento,1,324979,395083
adversar,10,324979,395083
adversario,13,324979,395083
adversidad,1,324979,395083
adverso,44,324979,395083
advertencia,4,324979,395083
advertir,11,324979,395083
advinh,1,324979,395083
advir,2,324979,395083
advocacia,4,324979,395083
advocaciager,2,324979,395083
advogar,117,324979,395083
ae,1,324979,395083
aecio,9,324979,395083
aed,2,324979,395083
aegypti,2,324979,395083
aercio,1,324979,395083
aereasconform,1,324979,395083
aereasr,1,324979,395083
aereo,78,324979,395083
aerodinamico,1,324979,395083
aeronautico,10,324979,395083
aeronav,26,324979,395083
aeronavetrump,1,324979,395083
aeroport,1,324979,395083
aeroporto,55,324979,395083
aeroportuario,2,324979,395083
aerossol,1,324979,395083
aeroterrestr,1,324979,395083
aestud,2,324979,395083
afanar,1,324979,395083
afastament,1,324979,395083
afastamento,17,324979,395083
afastar,51,324979,395083
afastems,6,324979,395083
afaxinacontinuamp,1,324979,395083
afeccion,1,324979,395083
afectar,1,324979,395083
afeganistao,17,324979,395083
afegao,5,324979,395083
afeminar,1,324979,395083
afericao,2,324979,395083
aferir,3,324979,395083
afet,2,324979,395083
afeta,12,324979,395083
afetada,14,324979,395083
afetado,19,324979,395083
afetalo,1,324979,395083
afetam,3,324979,395083
afetando,1,324979,395083
afetar,4,324979,395083
afetara,7,324979,395083
afetem,3,324979,395083
afetiva,2,324979,395083
afeto,1,324979,395083
aff,1,324979,395083
afff,1,324979,395083
afiar,2,324979,395083
afilhar,2,324979,395083
afiliacao,2,324979,395083
afiliar,1,324979,395083
afin,24,324979,395083
afinacao,1,324979,395083
afinar,3,324979,395083
afincar,1,324979,395083
afinidad,1,324979,395083
afirmacao,226,324979,395083
afirmacaoviu,1,324979,395083
afirmaqu,1,324979,395083
afirmar,1059,324979,395083
afirmas,2,324979,395083
afirmativo,2,324979,395083
afivelar,1,324979,395083
aflitivo,1,324979,395083
aflito,1,324979,395083
aflorar,1,324979,395083
afluent,1,324979,395083
afogamento,1,324979,395083
afogar,7,324979,395083
afonso,3,324979,395083
aforar,10,324979,395083
afp,63,324979,395083
africa,1,324979,395083
african,2,324979,395083
africanar,12,324979,395083
africano,14,324979,395083
africo,34,324979,395083
afroamericana,2,324979,395083
afroamericano,1,324979,395083
afrobrasileira,2,324979,395083
afrolatin,1,324979,395083
afrontar,5,324979,395083
afrouxamento,1,324979,395083
afundar,12,324979,395083
afundir,4,324979,395083
agachar,3,324979,395083
again,1,324979,395083
agarrar,6,324979,395083
agasalhar,5,324979,395083
agasalho,2,324979,395083
agata,1,324979,395083
agatha,11,324979,395083
agefluid,1,324979,395083
agenc,3,324979,395083
agencia,170,324979,395083
agenciar,2,324979,395083
agendamento,17,324979,395083
agendar,104,324979,395083
agenor,1,324979,395083
agent,85,324979,395083
aghata,4,324979,395083
agil,2,324979,395083
agilidad,1,324979,395083
agilizar,3,324979,395083
agiotar,1,324979,395083
agir,57,324979,395083
agitacao,1,324979,395083
agitar,2,324979,395083
agitrop,1,324979,395083
aglio,1,324979,395083
aglobolixonao,1,324979,395083
aglomeracao,49,324979,395083
aglomeracoes11,2,324979,395083
aglomeracoesreiteramo,1,324979,395083
aglomerar,8,324979,395083
aglomeras,1,324979,395083
agnaldo,4,324979,395083
agnew,4,324979,395083
agonizant,1,324979,395083
agonizar,2,324979,395083
agora,4,324979,395083
agoras,1,324979,395083
agorasua,1,324979,395083
agoratodomundoama,1,324979,395083
agorinha,3,324979,395083
agostar,151,324979,395083
agostinho,4,324979,395083
agostomesmo,1,324979,395083
agr,1,324979,395083
agraciar,3,324979,395083
agradac,1,324979,395083
agradalo,1,324979,395083
agradar,5,324979,395083
agradavel,1,324979,395083
agradec,46,324979,395083
agradecimento,13,324979,395083
agradecot,1,324979,395083
agraria,1,324979,395083
agrario,3,324979,395083
agravamento,8,324979,395083
agravant,1,324979,395083
agravar,16,324979,395083
agravo,2,324979,395083
agredir,44,324979,395083
agregacao,2,324979,395083
agregar,6,324979,395083
agressao,29,324979,395083
agressivo,4,324979,395083
agressor,13,324979,395083
agrest,1,324979,395083
agriao,3,324979,395083
agricola,10,324979,395083
agricultor,16,324979,395083
agricultura,19,324979,395083
agricultura61,1,324979,395083
agriid,1,324979,395083
agrimensura,1,324979,395083
agripino,4,324979,395083
agro,4,324979,395083
agroindustria,1,324979,395083
agronegocio,5,324979,395083
agronoma,1,324979,395083
agronomia,1,324979,395083
agropecuario,2,324979,395083
agrotoxico,6,324979,395083
agrupamento,1,324979,395083
agrupar,3,324979,395083
agrura,1,324979,395083
agu,2,324979,395083
agua,320,324979,395083
aguar,4,324979,395083
aguardar,46,324979,395083
aguardarboato,1,324979,395083
aguardempedido,1,324979,395083
aguardenop,1,324979,395083
agudo,19,324979,395083
aguentar,25,324979,395083
aguerrir,1,324979,395083
aguia,1,324979,395083
aguiar,1,324979,395083
aguinaldo,3,324979,395083
agulhar,47,324979,395083
agusta,1,324979,395083
ah,33,324979,395083
aha,1,324979,395083
ahhh,2,324979,395083
ahhhh,3,324979,395083
ahin1,1,324979,395083
ahmadi,1,324979,395083
ahora,2,324979,395083
ai,53,324979,395083
ai5,5,324979,395083
aiagora,1,324979,395083
aiclaro,1,324979,395083
aicuidado,1,324979,395083
aid,8,324979,395083
aidiss,1,324979,395083
aijair,1,324979,395083
ailton,1,324979,395083
aimagem,1,324979,395083
aimensagen,1,324979,395083
ainda,1,324979,395083
aiqaeda,1,324979,395083
air,11,324979,395083
airbnb,2,324979,395083
airbu,4,324979,395083
airlin,6,324979,395083
airpod,1,324979,395083
airton,4,324979,395083
airway,7,324979,395083
ais,1,324979,395083
ajax,6,324979,395083
ajoelhar,10,324979,395083
ajudaa,1,324979,395083
ajudala,1,324979,395083
ajudalo,7,324979,395083
ajudalosem,1,324979,395083
ajudant,13,324979,395083
ajudar,301,324979,395083
ajudarrt,1,324979,395083
ajudems,1,324979,395083
ajudeno,1,324979,395083
ajuizar,1,324979,395083
ajust,3,324979,395083
ajustamento,3,324979,395083
akbar,1,324979,395083
aki,2,324979,395083
akira,2,324979,395083
akon,1,324979,395083
akron,1,324979,395083
al,12,324979,395083
alabama,1,324979,395083
aladdin,1,324979,395083
alagamento,1,324979,395083
alagar,7,324979,395083
alagavel,1,324979,395083
alagoa,12,324979,395083
alagoano,6,324979,395083
alagoanoo,1,324979,395083
alain,1,324979,395083
alamedar,1,324979,395083
alami,1,324979,395083
alan,3,324979,395083
alar,19,324979,395083
alaranjar,1,324979,395083
alardear,1,324979,395083
alarm,1,324979,395083
alarmant,3,324979,395083
alarmar,10,324979,395083
alarmismo,1,324979,395083
alarmista,8,324979,395083
alaska,1,324979,395083
alastramento,2,324979,395083
alastrar,7,324979,395083
alavancar,1,324979,395083
albert,25,324979,395083
alberto,38,324979,395083
albra,1,324979,395083
albuquerqu,1,324979,395083
alcalinidad,1,324979,395083
alcalinizar,1,324979,395083
alcalino,11,324979,395083
alcancar,53,324979,395083
alcanceo,1,324979,395083
alcantara,1,324979,395083
alcar,1,324979,395083
alcatear,1,324979,395083
alcateia,1,324979,395083
alcion,2,324979,395083
alckmin,6,324979,395083
alco,7,324979,395083
alcobaca,1,324979,395083
alcolumbr,16,324979,395083
alcool,117,324979,395083
alcoolagora,1,324979,395083
alcoolatra,1,324979,395083
alcoolico,15,324979,395083
alcoolizar,1,324979,395083
alcorao,1,324979,395083
alcyr,1,324979,395083
aldear,8,324979,395083
aldeia,4,324979,395083
aldir,3,324979,395083
aldolf,1,324979,395083
ale,1,324979,395083
aleatoriament,17,324979,395083
aleatorio,3,324979,395083
alegacao,159,324979,395083
alegacaoa,1,324979,395083
alegacaoo,1,324979,395083
alegadament,2,324979,395083
alegar,113,324979,395083
alegoria,2,324979,395083
alegrar,42,324979,395083
alegrems,1,324979,395083
alegret,1,324979,395083
alegria,20,324979,395083
aleida,2,324979,395083
aleixo,1,324979,395083
alekseynz,1,324979,395083
aleluia,4,324979,395083
alema,1,324979,395083
aleman,1,324979,395083
alemanha,65,324979,395083
alemao,77,324979,395083
alemaoingl,1,324979,395083
alembrar,1,324979,395083
alencar,7,324979,395083
alergia,8,324979,395083
alergico,4,324979,395083
alerj,8,324979,395083
alerta,1,324979,395083
alertacuidado,1,324979,395083
alertalo,1,324979,395083
alertamno,1,324979,395083
alertapesso,1,324979,395083
alertar,229,324979,395083
alertarecebi,1,324979,395083
alertavamo,1,324979,395083
alesp,2,324979,395083
alessandro,3,324979,395083
alex,7,324979,395083
alexand,7,324979,395083
alexandr,78,324979,395083
alexandra,1,324979,395083
alfabetico,1,324979,395083
alfabeto,2,324979,395083
alfacon,2,324979,395083
alfandega,1,324979,395083
alfar,4,324979,395083
alfinetar,6,324979,395083
alforriar,1,324979,395083
alfredo,3,324979,395083
alga,1,324979,395083
algemar,11,324979,395083
algocultur,1,324979,395083
algodao,7,324979,395083
algoritmo,3,324979,395083
alguem,186,324979,395083
algum,281,324979,395083
alhear,1,324979,395083
alheio,4,324979,395083
alho,29,324979,395083
alia,34,324979,395083
aliadocomecara,1,324979,395083
aliancar,21,324979,395083
aliar,20,324979,395083
alibaba,2,324979,395083
alibi,1,324979,395083
alicercar,1,324979,395083
aliciar,1,324979,395083
alienacao,3,324979,395083
alienar,16,324979,395083
alienigena,2,324979,395083
aliess,1,324979,395083
aliexpress,2,324979,395083
alig,1,324979,395083
alihous,1,324979,395083
alimentacao,22,324979,395083
alimentandoo,1,324979,395083
alimentar,45,324979,395083
alimentes,1,324979,395083
alimento,72,324979,395083
alina,1,324979,395083
alinaca,1,324979,395083
alinhamento,3,324979,395083
alinhar,13,324979,395083
alipio,1,324979,395083
aliquota,4,324979,395083
aliviar,5,324979,395083
alivio,2,324979,395083
alla,3,324979,395083
allahu,1,324979,395083
allan,6,324979,395083
allemand,1,324979,395083
allianc,3,324979,395083
allianz,4,324979,395083
allig,1,324979,395083
allison,1,324979,395083
almanaqu,7,324979,395083
almeida,12,324979,395083
almejar,1,324979,395083
almirant,2,324979,395083
almo,29,324979,395083
almocar,20,324979,395083
almoco,2,324979,395083
almofadar,1,324979,395083
almoxarifado,3,324979,395083
aln,9,324979,395083
alo,7,324979,395083
aloca,1,324979,395083
aloizio,1,324979,395083
alojar,6,324979,395083
alojars,1,324979,395083
alon,1,324979,395083
alongar,1,324979,395083
alooooo,1,324979,395083
aloysio,4,324979,395083
alpha,1,324979,395083
alpinista,1,324979,395083
alqueir,1,324979,395083
alquingel,5,324979,395083
alshabaad,1,324979,395083
alstom,1,324979,395083
altado,1,324979,395083
altament,9,324979,395083
altamira,2,324979,395083
altar,1,324979,395083
altasegredo,1,324979,395083
alter,2,324979,395083
alteracao,29,324979,395083
alterar,76,324979,395083
altern,1,324979,395083
alternar,2,324979,395083
alternativo,8,324979,395083
altiplano,2,324979,395083
altitud,2,324979,395083
alto,204,324979,395083
altoo,1,324979,395083
altright,1,324979,395083
altruismo,1,324979,395083
altruista,2,324979,395083
altura,11,324979,395083
alucinacao,1,324979,395083
alugar,13,324979,395083
alugas,1,324979,395083
aluguel,20,324979,395083
aluminio,3,324979,395083
alunar,8,324979,395083
aluno,50,324979,395083
alunort,2,324979,395083
alusao,8,324979,395083
alv,32,324979,395083
alvar,1,324979,395083
alvarenga,2,324979,395083
alvarez,1,324979,395083
alvaro,7,324979,395083
alvejant,2,324979,395083
alvejar,1,324979,395083
alvin,3,324979,395083
alvinegro,1,324979,395083
alvitrar,1,324979,395083
alvo,50,324979,395083
alvorar,6,324979,395083
alvorocar,1,324979,395083
alypio,1,324979,395083
alzeim,1,324979,395083
alzheim,11,324979,395083
am,8,324979,395083
am070,3,324979,395083
amabl,1,324979,395083
amadaqu,1,324979,395083
amadeu,1,324979,395083
amador,8,324979,395083
amadurec,1,324979,395083
amaldicoar,3,324979,395083
amambai,1,324979,395083
amamentalo,1,324979,395083
amamentar,1,324979,395083
amanciada,1,324979,395083
amanda,1,324979,395083
amanha,56,324979,395083
amanha0107,1,324979,395083
amanhaceu,2,324979,395083
amanhao,1,324979,395083
amanharecebi,1,324979,395083
amanhec,8,324979,395083
amant,3,324979,395083
amantar,11,324979,395083
amantia,1,324979,395083
amapa,9,324979,395083
amar,51,324979,395083
amarant,1,324979,395083
amarar,2,324979,395083
amarelar,25,324979,395083
amarelo,25,324979,395083
amareloalaranjado,1,324979,395083
amargar,3,324979,395083
amargo,2,324979,395083
amargurar,2,324979,395083
amarico,1,324979,395083
amarrar,6,324979,395083
amarula,1,324979,395083
amarzenado,1,324979,395083
amassar,1,324979,395083
amauri,1,324979,395083
amavel,1,324979,395083
amazon,18,324979,395083
amazona,65,324979,395083
amazonasob,1,324979,395083
amazonens,6,324979,395083
amazonia,159,324979,395083
amazoniaa,1,324979,395083
amazoniaedobrasil,1,324979,395083
amazoniakkkkkkkkkkkk,1,324979,395083
amazonianoticia,1,324979,395083
amazoniasemong,1,324979,395083
amazonica,12,324979,395083
amazonino,2,324979,395083
ambev,15,324979,395083
ambicao,1,324979,395083
ambicioso,1,324979,395083
ambient,26,324979,395083
ambientalista,7,324979,395083
ambientar,78,324979,395083
ambiguidad,1,324979,395083
ambito,16,324979,395083
ambulancia,16,324979,395083
ambulant,7,324979,395083
ambulatori,1,324979,395083
ambulatoriai,2,324979,395083
ambulatorio,5,324979,395083
ameacando,1,324979,395083
ameacandolh,1,324979,395083
ameacar,106,324979,395083
ameca,2,324979,395083
amedrontar,1,324979,395083
amelia,2,324979,395083
amem,7,324979,395083
amemamado,1,324979,395083
amembolsonaro,1,324979,395083
amempai,1,324979,395083
amenaza,1,324979,395083
amendoa,1,324979,395083
amendoim,3,324979,395083
amenidad,2,324979,395083
amenizacao,1,324979,395083
amenizar,5,324979,395083
ameno,1,324979,395083
amentar,1,324979,395083
america,91,324979,395083
american,11,324979,395083
americanacomo,1,324979,395083
americano,183,324979,395083
americo,1,324979,395083
amidar,1,324979,395083
amigao,1,324979,395083
amigapriscilar,1,324979,395083
amigar,103,324979,395083
amigavelment,1,324979,395083
amigdala,6,324979,395083
amigo,404,324979,395083
amigosapo,1,324979,395083
aminoacido,2,324979,395083
amir,1,324979,395083
amistoso,1,324979,395083
amizad,5,324979,395083
amniotico,2,324979,395083
amo,9,324979,395083
amoedar,4,324979,395083
amoedo,3,324979,395083
amoedomesmo,1,324979,395083
amolar,1,324979,395083
amolestia,1,324979,395083
amonio,3,324979,395083
amontoar,2,324979,395083
amor,76,324979,395083
amordacar,1,324979,395083
amorenquanto,1,324979,395083
amorim,1,324979,395083
amorlicao,1,324979,395083
amorosidad,1,324979,395083
amoroso,1,324979,395083
amostragem,4,324979,395083
amostrar,40,324979,395083
amot,1,324979,395083
amotinar,1,324979,395083
amount,1,324979,395083
amparar,3,324979,395083
amplament,100,324979,395083
ampliacao,8,324979,395083
ampliar,18,324979,395083
amplificacao,1,324979,395083
amplificar,3,324979,395083
amplitud,1,324979,395083
amplo,17,324979,395083
amputacao,1,324979,395083
amputar,1,324979,395083
amusicaehvida,1,324979,395083
ana,36,324979,395083
anabel,2,324979,395083
anadolu,1,324979,395083
anafilatico,3,324979,395083
anal,1,324979,395083
analfabetismo,1,324979,395083
analfabeto,6,324979,395083
analgesico,4,324979,395083
analic,1,324979,395083
analis,58,324979,395083
analisar,54,324979,395083
analista,4,324979,395083
analogia,1,324979,395083
ananindeua,1,324979,395083
ananto,1,324979,395083
anapoli,1,324979,395083
anapolisgo,1,324979,395083
anapu,1,324979,395083
anastacio,1,324979,395083
anatel,3,324979,395083
anatol,1,324979,395083
anatomicament,1,324979,395083
ancara,1,324979,395083
ancelmo,4,324979,395083
anchieta,1,324979,395083
anciao,2,324979,395083
ancin,10,324979,395083
anconi,1,324979,395083
ancora,2,324979,395083
and,20,324979,395083
andador,2,324979,395083
andamento,19,324979,395083
andar,118,324979,395083
anderson,14,324979,395083
andesamazoniaatlantico,1,324979,395083
andi,1,324979,395083
andr,28,324979,395083
andrad,8,324979,395083
andrada,1,324979,395083
andrea,4,324979,395083
andrei,1,324979,395083
andrew,6,324979,395083
andri,3,324979,395083
androgenico,1,324979,395083
android,13,324979,395083
androidmacacelebracao,1,324979,395083
aneel,1,324979,395083
anel,3,324979,395083
anemia,1,324979,395083
anemico,1,324979,395083
anericana,1,324979,395083
anestesiar,4,324979,395083
anestesiologista,1,324979,395083
aneurisma,1,324979,395083
anexar,16,324979,395083
anexo,4,324979,395083
anez,1,324979,395083
anfitriao,1,324979,395083
ang,4,324979,395083
angariar,2,324979,395083
angel,8,324979,395083
angela,3,324979,395083
angelico,1,324979,395083
angelo,3,324979,395083
angelu,2,324979,395083
anglicano,1,324979,395083
angoho,2,324979,395083
angola,7,324979,395083
angolano,1,324979,395083
angra,6,324979,395083
angulo,6,324979,395083
angustia,1,324979,395083
anhembi,10,324979,395083
anidro,1,324979,395083
aniel,1,324979,395083
anim,39,324979,395083
animacao,6,324979,395083
animador,3,324979,395083
animaistinha,1,324979,395083
animalum,1,324979,395083
animar,92,324979,395083
animo,5,324979,395083
aninhar,1,324979,395083
aniquilamento,1,324979,395083
anistia,6,324979,395083
anistiado,10,324979,395083
anistiava,1,324979,395083
anisto,1,324979,395083
anita,7,324979,395083
anitta,8,324979,395083
aniverario,1,324979,395083
aniversariar,2,324979,395083
aniversario,69,324979,395083
aniversarioestamo,1,324979,395083
anjo,19,324979,395083
anna,2,324979,395083
annapoli,1,324979,395083
annastacia,1,324979,395083
annenberg,2,324979,395083
annita,2,324979,395083
anniversari,1,324979,395083
annua,1,324979,395083
ano,1481,324979,395083
